text,label
How to calculate the beta of a non-publicly traded company?,1
What is the purpose of a fairness opinion in a merger?,1
Define the operating cycle of a manufacturing firm.,1
Why would a firm issue convertible bonds instead of straight debt?,1
What is the marginal cost of capital?,1
How does a change in the corporate tax rate affect the WACC?,1
What is capital budgeting and why do firms use NPV,1
How do you decide between two projects using IRR,1
Explain the difference between NPV and payback period,1
A company is choosing a project with negative NPV should it proceed,1
How does inflation affect capital investment decisions,1
Can a project have a positive NPV but low IRR,1
When should a firm use MIRR instead of IRR,1
How do sunk costs factor into capital budgeting decisions,1
What role does real options analysis play in investment decisions,1
If cash flows are uneven how do you evaluate a project,1
What is working capital in simple terms,1
Why is managing inventory important for cash flow,1
How does extending customer credit affect working capital,1
A firm increases accounts payable what happens to liquidity,1
Explain the cash conversion cycle and why it matters,1
How do seasonal businesses manage working capital needs,1
Is negative working capital always a bad sign,1
How does poor receivables management hurt firm value,1
What happens to free cash flow when working capital increases,1
How do just in time systems impact working capital,1
What is a merger versus an acquisition,1
Why do firms pursue horizontal mergers,1
Explain synergy in the context of M and A,1
A company overpays in an acquisition what are the risks,1
How do you value a target company in an acquisition,1
What is the role of due diligence in M and A deals,1
How does leverage change after a leveraged buyout,1
What is corporate restructuring and when is it needed,1
Explain spin offs and carve outs,1
Why do some mergers fail to create value,1
What is dividend policy,1
Why might a firm prefer share buybacks over dividends,1
How do taxes influence dividend policy decisions,1
If earnings are volatile should dividends be stable,1
What signal does a dividend increase send to markets,1
Explain dividend irrelevance theory,1
How do share repurchases affect EPS,1
Why would a company suspend dividends during downturns,1
Are buybacks always good for shareholders,1
How does payout policy impact firm valuation,1
What is the weighted average cost of capital,1
How do you calculate cost of equity using CAPM,1
Why is after tax cost of debt used in WACC,1
If a firm increases leverage what happens to WACC,1
Explain the relationship between risk and cost of capital,1
How does beta affect required return on equity,1
What happens to WACC if interest rates rise,1
Is WACC the same for all projects within a firm,1
How do country risk premiums affect cost of capital,1
why is cost of capital so important anyway,1
What is WACC and how do you calculate it?,1
How does working capital affect a company's liquidity?,1
Can you explain the NPV method for capital budgeting?,1
What are the main factors to consider in a merger valuation?,1
Why would a company choose debt financing over equity financing?,1
What's the difference between operating and financial leverage?,1
How do dividend policies impact shareholder value?,1
What is the payback period method and what are its limitations?,1
How do you determine the optimal capital structure for a firm?,1
What role does free cash flow play in corporate valuation?,1
Explain the pecking order theory of capital structure,1
What is the difference between a horizontal and vertical merger?,1
How does inflation affect capital budgeting decisions?,1
What are the tax implications of debt vs equity financing?,1
Why do companies engage in share buyback programs?,1
What is the internal rate of return and how is it used?,1
How do you calculate the cost of equity using CAPM?,1
What is the profitability index and when should it be used?,1
What are synergies in M&A and how are they valued?,1
How does working capital management impact ROE?,1
What is the difference between accounting and economic profit?,1
Explain the trade-off theory of capital structure,1
What factors influence a company's dividend payout ratio?,1
How do you evaluate a leveraged buyout opportunity?,1
What is the modified internal rate of return (MIRR)?,1
How does financial distress affect firm value?,1
What is the role of investment bankers in M&A transactions?,1
How do you calculate enterprise value?,1
What are the components of working capital?,1
Why might NPV and IRR give conflicting rankings for projects?,1
What is the impact of share repurchases on EPS?,1
How do you estimate the terminal value in a DCF model?,1
What is the difference between dilutive and accretive acquisitions?,1
How does operating leverage affect business risk?,1
What are the key considerations in cash management?,1
Explain the Modigliani-Miller theorem and its assumptions,1
What is the difference between strategic and financial buyers in M&A?,1
How do you calculate the break-even point for a capital project?,1
What factors determine the optimal inventory level?,1
Why do companies use different hurdle rates for different projects?,1
What is the impact of flotation costs on cost of capital?,1
How does accounts receivable management affect cash conversion cycle?,1
What are poison pills and other takeover defenses?,1
How do you adjust WACC for project-specific risk?,1
What is the difference between stock and asset purchases in M&A?,1
How does the cash conversion cycle impact working capital needs?,1
What are real options in capital budgeting?,1
Why might a company choose a stock dividend over cash dividend?,1
How do you calculate the weighted average cost of debt?,1
What is goodwill and how is it treated in M&A accounting?,1
whats the diferrence between net working capital and gross working capital?,1
How does leverage affect ROE and what are the risks?,1
What is the signaling theory of dividends?,1
How do you evaluate the creditworthiness of a potential acquirer?,1
What are the advantages of the discounted payback period?,1
How does a spin-off differ from a carve-out?,1
What factors should be considered when setting credit terms?,1
How do you calculate the cost of preferred stock?,1
What is the impact of earnouts in M&A deal structuring?,1
How does factoring help with accounts receivable management?,1
How do you prepare a consolidated balance sheet?,1
Explain the revenue recognition principle under ASC 606.,1
What is the difference between FIFO and LIFO during inflation?,1
How to calculate double-declining balance depreciation?,1
What are the main differences between GAAP and IFRS?,1
Does land get depreciated on a standard balance sheet?,1
How do you calculate the debt-to-equity ratio from a 10-K?,1
explain the matching principle with an example of insurance,1
What is the purpose of the statement of cash flows?,1
How does a write-down of inventory affect the income statement?,1
can u tell me how to find gross profit margin?,1
Difference between accounts receivable and notes receivable?,1
What is the journal entry for unearned revenue when cash is received?,1
How to handle a change in accounting estimate vs a change in principle?,1
what is weighted average cost method for inventory?,1
Explain the concept of substance over form in accounting.,1
How is goodwill impairment tested under GAAP?,1
scenario: we bought a machine for 50k with 5k salvage value. what is yr 1 depreciation?,1
What are the four basic financial statements?,1
how do capital leases differ from operating leases on the books?,1
What is the definition of a liability according to the FASB?,1
Explain the accrual basis of accounting vs cash basis.,1
How do you record a stock dividend on the financial statements?,1
is it okay to switch from LIFO to FIFO every year?,1
What is the current ratio and why is it important for liquidity?,1
How to account for research and development costs under IFRS?,1
what is the difference between an income statement and a balance sheet?,1
How do you calculate earnings per share (basic vs diluted)?,1
Explain the historical cost principle in asset valuation.,1
what happens to the trial balance if a debit is missed?,1
How do you calculate the ending inventory using the retail method?,1
What is the impact of a permanent difference on deferred taxes?,1
Define the periodicity assumption in accounting.,1
How to reconcile a bank statement to the general ledger?,1
What is a contra-asset account? Give an example.,1
how do you record bad debt expense using the allowance method?,1
Difference between a classified and unclassified balance sheet?,1
What is the objective of financial reporting?,1
how does the periodic inventory system work compared to perpetual?,1
What are the qualitative characteristics of financial information?,1
Explain the monetary unit assumption.,1
How do you treat subsequent events in financial statement prep?,1
what is the formula for the quick ratio?,1
How to calculate amortization for an intangible asset with a finite life?,1
why is the LIFO reserve important for analysts?,1
What is the effect of an understated ending inventory on COGS?,1
Explain the revenue recognition criteria for long-term contracts.,1
How to account for treasury stock using the cost method?,1
What is comprehensive income and where is it reported?,1
difference between depreciation and depletion?,1
How do you calculate the asset turnover ratio?,1
explain the full disclosure principle,1
What is the journal entry to record the sale of an asset at a loss?,1
How do you determine the cost of goods sold under weighted average?,1
why do some companies use a physical inventory count?,1
What are the criteria for a discontinued operation?,1
How to report a contingent liability that is probable and estimable?,1
what is the purpose of the adjusted trial balance?,1
How do you calculate the book value of an asset?,1
Explain the importance of the going concern assumption.,1
What are the main financial statements prepared by a firm,1
How does the balance sheet link to the income statement,1
Why must assets equal liabilities plus equity,1
Explain the purpose of the statement of cash flows,1
Is profit the same thing as cash flow,1
How do you analyze financial statements to assess profitability,1
What does retained earnings represent,1
Why does depreciation affect net income but not cash,1
How do accruals improve financial reporting,1
Can a company be profitable but insolvent,1
What is revenue recognition under accrual accounting,1
When should revenue be recognized under GAAP,1
Is revenue recorded when cash is received,1
Explain the matching principle in accounting,1
Why are expenses sometimes recognized before cash is paid,1
How does deferred revenue appear in the financial statements,1
If a customer prepays is that revenue right away,1
How do long term contracts recognize revenue over time,1
What happens if revenue is recognized too early,1
Why is expense matching important for profit measurement,1
What is depreciation in simple terms,1
How does straight line depreciation work,1
Is depreciation just an accounting trick,1
Why do firms use accelerated depreciation methods,1
How does depreciation affect asset book value,1
What is amortization and how is it different from depreciation,1
Can land be depreciated,1
How do you calculate depreciation expense each year,1
Why does depreciation not reflect market value,1
Does depreciation reduce taxes paid,1
What is inventory valuation in accounting,1
How does FIFO affect cost of goods sold,1
Under LIFO what happens in times of rising prices,1
Is LIFO allowed under IFRS,1
How does weighted average inventory costing work,1
Which inventory method gives higher profits during inflation,1
Does inventory valuation impact taxes,1
How do inventory write downs affect financial statements,1
Is FIFO more realistic than LIFO,1
Why do companies choose different inventory methods,1
What is the difference between GAAP and IFRS,1
Why does the US still use GAAP instead of IFRS,1
Are financial statements comparable under GAAP and IFRS,1
Does IFRS allow more judgment than GAAP,1
What role do accounting standards play in reporting,1
Can companies switch between GAAP and IFRS,1
How do accounting standards affect earnings quality,1
Is IFRS more principles based than rules based GAAP,1
Why do accounting rules differ across countries,1
How do you calculate depreciation using the straight-line method?,1
What is the difference between GAAP and IFRS?,1
Can you explain the revenue recognition principle?,1
How does FIFO differ from LIFO in inventory accounting?,1
What are the main components of a balance sheet?,1
How do you determine when to recognize revenue under ASC 606?,1
What is the matching principle in accounting?,1
How do you calculate the cost of goods sold?,1
What's the difference between accounts payable and accounts receivable?,1
Explain the double-declining balance method of depreciation,1
What is goodwill and how is it amortized?,1
How do you prepare a statement of cash flows?,1
What are the criteria for capitalizing vs expensing costs?,1
How does the weighted average method work for inventory valuation?,1
What is deferred revenue and where does it appear on financial statements?,1
How do you calculate earnings per share?,1
What is the difference between operating and capital leases under ASC 842?,1
How do accrual accounting and cash accounting differ?,1
What are adjusting entries and why are they needed?,1
How do you account for bad debt expense?,1
What is the units-of-production depreciation method?,1
How does percentage-of-completion revenue recognition work?,1
What are the differences between current and non-current assets?,1
How do you calculate working capital from a balance sheet?,1
What is the difference between gross profit and net income?,1
How do you account for inventory write-downs?,1
What is accumulated depreciation and where is it reported?,1
Explain the concept of materiality in accounting,1
How does LIFO reserve affect financial statement comparisons?,1
What are the main differences between income statement and P&L?,1
How do you recognize revenue for long-term contracts?,1
What is the difference between tangible and intangible assets?,1
How do you calculate the book value of an asset?,1
What are contra accounts and give examples?,1
How does the installment sales method work for revenue recognition?,1
What is the accounting equation and why must it balance?,1
How do you account for stock-based compensation?,1
What is the difference between an expense and an expenditure?,1
How do lower of cost or market rules apply to inventory?,1
what's the difference between amortization and depreciation?,1
How do you prepare closing entries at year-end?,1
What are the five revenue recognition criteria under IFRS 15?,1
How does the sum-of-years-digits depreciation method work?,1
What is comprehensive income vs net income?,1
How do you account for research and development costs?,1
What are temporary vs permanent differences in tax accounting?,1
How do you calculate inventory turnover ratio?,1
What is the purpose of a trial balance?,1
How does revenue recognition differ for services vs goods?,1
What are the components of other comprehensive income?,1
How do you account for sales returns and allowances?,1
What is the difference between absorption and variable costing?,1
How do changes in accounting estimates affect financial statements?,1
What are the disclosure requirements for related party transactions?,1
How does the completed contract method differ from percentage of completion?,1
What is the accounting treatment for contingent liabilities?,1
How do you calculate days sales outstanding?,1
What are perpetual vs periodic inventory systems?,1
How do you account for foreign currency transactions?,1
What is the difference between operating income and EBITDA?,1
How does a limit order differ from a market order?,1
Explain the relationship between bond prices and interest rates.,1
What is a call option and how does it work?,1
What determines the bid-ask spread in a liquid market?,1
What is an inverted yield curve and why does it matter?,1
How do currency pairs work in the forex market?,1
Explain the difference between an ETF and a mutual fund.,1
What is the role of a market maker on the NYSE?,1
How does a short squeeze happen in the stock market?,1
What are the main Greeks used in option pricing?,1
how do i go long on the eur/usd pair?,1
What is a credit default swap and how is it used?,1
Explain the concept of margin in futures trading.,1
What is the difference between the S&P 500 and the Dow Jones?,1
How do zero-coupon bonds generate a return?,1
What is a dark pool and why do institutions use them?,1
can u explain what a stop-loss order is for?,1
What is the impact of a rate hike on the bond market?,1
How does high-frequency trading affect market volatility?,1
Explain the mechanics of a currency carry trade.,1
What is a straddle strategy in options trading?,1
How is a commodity future different from a financial future?,1
What are the different types of yield curves?,1
how do i hedge my portfolio using put options?,1
What is the difference between a price-weighted and cap-weighted index?,1
Explain the concept of "basis" in the futures market.,1
What is a pip in forex trading jargon?,1
How do municipal bonds differ from corporate bonds?,1
What is the purpose of a clearinghouse in derivative trades?,1
How does a trailing stop order work?,1
Explain the VIX index and what it measures.,1
What are the risks of trading on leverage?,1
how do i buy a bond at a discount?,1
What is an interest rate swap?,1
Explain the "open interest" metric in options markets.,1
What is a wash sale and why is it restricted?,1
How do ADRs allow investors to buy foreign stocks?,1
what is a bull trap in technical analysis?,1
Explain the difference between the primary and secondary markets.,1
How does quantitative easing impact stock prices?,1
What is a naked put vs a covered put?,1
How do treasury inflation-protected securities (TIPS) work?,1
What is the "spread" in a fixed income context?,1
can u explain the black-scholes model simply?,1
What is a laddering strategy for bonds?,1
How do binary options differ from standard options?,1
What is a "lot" in the context of forex?,1
How do sector ETFs help with diversification?,1
What is a limit-on-close order?,1
Explain the contango vs backwardation in futures markets.,1
how do interest rate parities affect forex rates?,1
What is the "ask" price in a stock quote?,1
How does a stock's liquidity affect its volatility?,1
What is the significance of the 10-year Treasury yield?,1
Explain the difference between American and European options.,1
what is a "fill or kill" order type?,1
How do tracking errors occur in ETFs?,1
What is the risk-free rate of return?,1
Explain the concept of delta hedging.,1
How does a credit rating change affect a bond's yield?,1
What is the difference between a market order and a limit order,1
How does a stop loss order work in practice,1
Why might an institutional trader use an iceberg order,1
What happens to a stock price when liquidity is low,1
How does bid ask spread affect retail traders,1
What is slippage and why does it matter,1
Can you trade stocks outside regular market hours,1
How do market makers profit from trading activity,1
What does it mean when a stock is halted,1
Why do large funds split orders to avoid market impact,1
What is a bond yield in simple terms,1
How does duration measure interest rate risk,1
Why do bond prices fall when yields rise,1
What does an inverted yield curve signal,1
How do central bank rate changes affect bond markets,1
What is the difference between nominal and real yields,1
How do credit spreads reflect default risk,1
Why do institutional investors prefer long dated bonds,1
What happens to bond prices during inflation surprises,1
How do yield curves differ across countries,1
What is a call option,1
How does implied volatility affect option prices,1
Is buying calls the same as being bullish,1
What is theta decay and why do traders hate it,1
How do futures contracts differ from forwards,1
Why do hedgers use futures instead of spot markets,1
What is a swap and how is it used by banks,1
Can derivatives increase systemic risk,1
What does it mean to roll a futures contract,1
Are options zero sum games,1
What is the forex market,1
Why is FX trading considered highly liquid,1
What does going long EUR USD mean,1
How do interest rate differentials affect currency values,1
Why do central banks intervene in FX markets,1
What is a pip in forex trading slang,1
How does leverage work in retail FX accounts,1
Can currency risk be fully hedged,1
Why do exchange rates move even without news,1
What is carry trade in FX jargon,1
What is a stock market index,1
How is the S and P 500 constructed,1
What does it mean when an ETF tracks an index,1
How do ETFs stay close to their NAV,1
Why do institutions use ETFs for tactical allocation,1
Can ETFs be more liquid than their underlying assets,1
What happens if an ETF market maker steps away,1
Are leveraged ETFs safe for long term investors,1
What's the difference between a limit order and a market order?,1
How does a stop-loss order work?,1
Can you explain what the yield curve tells us about the economy?,1
What is the difference between a call option and a put option?,1
How do ETFs differ from mutual funds?,1
What factors affect currency exchange rates?,1
Explain how futures contracts work in commodity trading,1
What is the bid-ask spread and why does it matter?,1
How do you calculate the intrinsic value of an option?,1
What is short selling and what are the risks?,1
How does the S&P 500 index differ from the Dow Jones?,1
What is a swap and how is it used in risk management?,1
How do interest rate changes affect bond prices?,1
What is the difference between spot and forward rates in forex?,1
How does high-frequency trading impact market liquidity?,1
What are the Greeks in options trading?,1
How do you read a bond's yield to maturity?,1
What is the difference between American and European options?,1
How does margin trading work and what are the risks?,1
What is a basis point and why is it used?,1
How do market makers provide liquidity?,1
What is the VIX and what does it measure?,1
How do currency pairs work in forex trading?,1
What's the difference between systematic and unsystematic risk?,1
How do you calculate beta for a stock?,1
What is the difference between duration and maturity for bonds?,1
How does a covered call strategy work?,1
What are the main differences between NYSE and NASDAQ?,1
How do interest rate swaps help manage risk?,1
What is a inverted yield curve and what does it signal?,1
How do you calculate the delta of an option?,1
What is the role of clearinghouses in derivatives markets?,1
How does algorithmic trading differ from traditional trading?,1
What are ADRs and how do they work?,1
How do you hedge currency risk using forwards?,1
What is the difference between contango and backwardation?,1
How does dark pool trading work?,1
What's the diff between market cap weighted and equal weighted indices?,1
How do credit default swaps work?,1
What is time decay in options and how does theta measure it?,1
How do circuit breakers halt trading during crashes?,1
What is the carry trade in forex markets?,1
How do you calculate the Sharpe ratio for a portfolio?,1
What are the advantages of using limit orders over market orders?,1
How does gamma affect an option's delta?,1
What is the difference between on-the-run and off-the-run treasuries?,1
How do butterfly spreads work in options trading?,1
What factors drive the price of gold futures?,1
How does quantitative easing affect bond yields?,1
What is rho and how does it measure interest rate sensitivity?,1
How do you calculate implied volatility from option prices?,1
What's the difference between a straddle and a strangle?,1
How do sovereign bonds differ from corporate bonds?,1
What is basis risk in hedging strategies?,1
How does pairs trading exploit market inefficiencies?,1
What are the settlement procedures for forex transactions?,1
How do you value an interest rate swap?,1
What is vega and how does it measure volatility risk?,1
How do leveraged ETFs achieve their returns?,1
What is the role of prime brokers in hedge fund operations?,1
What are the primary disclosure requirements under SEC Regulation S-K?,1
How does Basel III define Tier 1 capital ratios?,1
Explain the difference between a SAR and a CTR in AML compliance.,1
What is the fiduciary standard for registered investment advisors?,1
How does SOX Section 404 impact internal controls over financial reporting?,1
What are the "Know Your Customer" requirements for new bank accounts?,1
Explain the Volcker Rule's restrictions on proprietary trading.,1
How to comply with the EU's MiFID II transparency requirements?,1
What is the role of the PCAOB in auditing oversight?,1
Define beneficial ownership in the context of AML regulations.,1
What are the penalties for violating the Foreign Corrupt Practices Act?,1
How does the Liquidity Coverage Ratio work under Basel III?,1
What constitutes "insider trading" under SEC Rule 10b-5?,1
how do i file a form 4 for insider stock transactions?,1
Explain the importance of the "Prudent Person Rule" for fiduciaries.,1
What is the purpose of the Dodd-Frank Act's stress testing?,1
How do I ensure compliance with the Gramm-Leach-Bliley Act?,1
What are the reporting requirements for a Schedule 13D filing?,1
explain the 5th Anti-Money Laundering Directive from the EU,1
What is a "Qualified Institutional Buyer" under Rule 144A?,1
How does the SEC regulate the sale of unregistered securities?,1
What is the difference between a suitability standard and a fiduciary duty?,1
How often must a firm conduct an independent AML audit?,1
What is a clawback provision under the Sarbanes-Oxley Act?,1
Describe the capital conservation buffer in banking reg.,1
How do banks monitor for suspicious activity using automated systems?,1
What are the disclosure rules for ESG reporting in the EU?,1
What is the significance of the "Howey Test" for digital assets?,1
how to register as an Investment Advisor with the SEC?,1
What is the purpose of the Financial Action Task Force (FATF)?,1
Explain the requirements for a management assessment of internal controls.,1
How does the Net Stable Funding Ratio differ from the LCR?,1
What is "tipping" in the context of insider trading regulations?,1
Requirements for a foreign bank to open a correspondent account in the US?,1
What are the record-keeping requirements under the Investment Advisers Act?,1
Explain the "Duty of Care" vs the "Duty of Loyalty".,1
How does the CCPA affect financial institutions' data privacy?,1
What is the role of a Chief Compliance Officer in a hedge fund?,1
How to handle a conflict of interest disclosure for a broker-dealer?,1
What is the "Market Abuse Regulation" in the UK/EU?,1
explain the sanctions screening process for OFAC compliance,1
What are the thresholds for triggering a bank's capital adequacy review?,1
How does Rule 10b5-1 protect executives from insider trading claims?,1
What is the "Red Flags Rule" for identity theft prevention?,1
How to comply with the SEC's Regulation Best Interest (Reg BI)?,1
What is the purpose of a 10-Q filing versus a 10-K?,1
Define a "Politically Exposed Person" in KYC procedures.,1
What is the difference between Basel II and Basel III?,1
How do fiduciaries manage "soft dollar" arrangements?,1
What are the governance requirements for an independent board of directors?,1
How to report a data breach to financial regulators?,1
What is the "Customer Due Diligence" final rule?,1
How does the Solvency II framework apply to insurance companies?,1
What are the restrictions on private placements under Regulation D?,1
explain the whistleblower protection program under Dodd-Frank,1
What is a "Material Non-Public Information" policy?,1
How to conduct a risk-based approach for AML monitoring?,1
What are the requirements for a bank to be "well-capitalized"?,1
How do I maintain an Order Execution Policy for compliance?,1
What is the purpose of the FINRA Rule 2111 on suitability?,1
What is the role of the SEC in US securities regulation,1
Why are public companies required to disclose material information,1
What is a Form 10 K filing used for,1
How often must companies file Form 10 Q reports,1
What counts as material nonpublic information,1
How do insider trading rules protect investors,1
What is Regulation FD and why does it matter,1
How do disclosure requirements differ for private firms,1
What happens if a company fails to meet SEC reporting deadlines,1
How do securities laws apply to foreign companies listed in the US,1
What is Basel III in simple terms,1
Why do banks have minimum capital requirements,1
How is Tier 1 capital defined under Basel III,1
What happens if a bank falls below required capital ratios,1
How do stress tests fit into banking regulation,1
Why are systemically important banks regulated more strictly,1
How do liquidity coverage ratios work,1
Are Basel III rules applied globally the same way,1
How do capital buffers reduce financial instability,1
Why do regulators limit bank leverage,1
What is anti money laundering regulation,1
Why do banks require KYC documentation,1
What information is typically collected during KYC checks,1
How do firms monitor suspicious transactions,1
What triggers a suspicious activity report,1
How does AML compliance differ across countries,1
What are the penalties for AML violations,1
Why is ongoing customer monitoring required,1
How do fintech firms comply with AML rules,1
Is KYC required for all financial accounts,1
What is a fiduciary duty in finance,1
How does fiduciary duty differ from suitability standards,1
Who is considered an investment advisor under US law,1
What regulations govern registered investment advisors,1
How must advisors manage conflicts of interest,1
What does acting in the best interest of clients mean,1
How are fiduciary duties enforced,1
Do fiduciary rules apply outside the US,1
How does MiFID II affect investment advice in Europe,1
Why is transparency important for client trust,1
What is the Sarbanes Oxley Act,1
Why was Sarbanes Oxley introduced,1
What is required under Sarbanes Oxley Section 404,1
How does SOX improve internal controls,1
Who is responsible for financial statement certification under SOX,1
How does SOX affect corporate governance,1
What are the penalties for SOX noncompliance,1
Does Sarbanes Oxley apply to foreign companies,1
What are the main requirements of Sarbanes-Oxley Section 404?,1
How does Basel III differ from Basel II capital requirements?,1
What is the purpose of KYC procedures in banking?,1
Can you explain the SEC's Regulation FD?,1
What are the filing requirements for Form 10-K?,1
How do CRD IV regulations affect European banks?,1
What is the fiduciary standard for investment advisors?,1
How does the Dodd-Frank Act regulate derivatives trading?,1
What are the core pillars of Basel III?,1
How do you comply with AML transaction monitoring requirements?,1
What is Regulation S-K and what does it cover?,1
How does MiFID II affect investment firms in Europe?,1
What are the insider trading prohibitions under Section 10(b)?,1
How do you calculate Tier 1 capital ratios?,1
What is the purpose of a suspicious activity report (SAR)?,1
How does the Volcker Rule restrict proprietary trading?,1
What are the disclosure requirements for proxy statements?,1
How does the liquidity coverage ratio (LCR) work under Basel III?,1
What is the difference between Form 8-K and Form 10-Q?,1
How do enhanced due diligence requirements differ from standard KYC?,1
What are the suitability requirements under FINRA rules?,1
How does the net stable funding ratio (NSFR) promote stability?,1
What is Regulation Best Interest and who does it apply to?,1
How do you implement an effective AML compliance program?,1
What are the independence requirements for audit committees under SOX?,1
How does the Markets in Financial Instruments Regulation (MiFIR) work?,1
What is the purpose of stress testing under Dodd-Frank?,1
How do beneficial ownership reporting rules work under Section 13?,1
What are the record retention requirements for broker-dealers?,1
How does the Bank Secrecy Act require financial institutions to report?,1
What is the difference between accredited and non-accredited investors?,1
How do you comply with Regulation D private placement exemptions?,1
What are the capital buffer requirements under Basel III?,1
How does the Foreign Corrupt Practices Act apply to financial firms?,1
What is the purpose of Form ADV for investment advisors?,1
How do systemically important financial institutions face stricter rules?,1
What are the requirements for filing a Form 13F?,1
How does the Jumpstart Our Business Startups (JOBS) Act ease regulations?,1
What is the role of the Financial Crimes Enforcement Network (FinCEN)?,1
How do you calculate the leverage ratio under Basel III?,1
What are the whistleblower protections under Sarbanes-Oxley?,1
How does Regulation A+ facilitate capital raising for smaller companies?,1
What is the purpose of customer identification programs (CIP)?,1
How do clawback provisions work under Dodd-Frank?,1
What are the requirements for registering as a broker-dealer with SEC?,1
How does the EU's GDPR affect financial data protection?,1
What is the difference between Form S-1 and Form S-3 registration?,1
How do politically exposed persons (PEPs) affect AML risk assessments?,1
What are the margin requirements for uncleared swaps under Dodd-Frank?,1
How does the Investment Advisers Act of 1940 define fiduciary duty?,1
What is the purpose of living wills for large banking organizations?,1
How do you comply with Regulation AB for asset-backed securities?,1
What are the requirements for Qualified Institutional Buyers under Rule 144A?,1
How does the Bank Holding Company Act regulate financial conglomerates?,1
What is the role of the Office of Foreign Assets Control (OFAC)?,1
How do you implement transaction monitoring for sanctions screening?,1
What are the attestation requirements for internal controls under SOX?,1
How does Regulation M restrict activities during securities offerings?,1
What is the difference between Schedule 13D and Schedule 13G filings?,1
How do central counterparty clearing requirements reduce systemic risk?,1
What is the typical career path for an investment banking analyst?,1
how hard is the cfa level 1 exam for someone with no finance background?,1
What are common technical interview questions for equity research?,1
How to network with MDs on LinkedIn without being annoying?,1
What is the average starting salary for a Big 4 auditor?,1
do i really need a master's in finance to get into hedge funds?,1
How to transition from corporate accounting to FP&A?,1
What skills are most important for a private equity associate?,1
how do i explain a gap year on my finance resume?,1
What is the difference between a buy-side and sell-side analyst role?,1
is the cpa still worth it if i want to do investment banking?,1
How to prepare for a superday interview at a bulge bracket bank?,1
What is the compensation structure for a wealth management advisor?,1
tips for networking as an introvert in finance,1
What are the exit opportunities after two years in M&A?,1
can u check if my resume has the right keywords for ats?,1
How long does it take to become a Managing Director in IB?,1
What are the best certifications for a career in risk management?,1
scenario: i have a 3.2 gpa. can i still get into a top tier bank?,1
How to answer "Why investment banking?" in an interview?,1
What is the day-to-day work like for a treasury analyst?,1
how much do quant traders make in their first year?,1
What is the difference between an associate and a VP in finance?,1
Is the FRM certification better than the CFA for risk roles?,1
how to reach out to alumni for informational interviews?,1
What are the most common excel formulas used by financial analysts?,1
how do i get an internship at a venture capital firm?,1
What is a carry interest and how does it affect private equity pay?,1
should i get an mba or a cfa to advance my career?,1
How to handle a case study interview for a consulting role?,1
what are the top target schools for investment banking recruitment?,1
How to dress for a final round interview at a hedge fund?,1
What is the work-life balance like in corporate development?,1
Can a liberal arts major get a job in project finance?,1
how to negotiate a sign-on bonus for a finance job?,1
What are the core competencies for a commercial credit analyst?,1
Is it better to work at a boutique bank or a bulge bracket?,1
how do i list passed cfa levels on my resume?,1
